indicator,Área geográfica,País__ESTANDAR,Años__ESTANDAR,Pobreza extrema y pobreza,Sexo__ESTANDAR,Clima educacional del hogar,value,unit,notes_ids,source_id
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2016,Pobreza,Hombres,Secundaria completa,23.7,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2016,Pobreza,Mujeres,Terciaria completa,6.2,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2016,Pobreza,Mujeres,Secundaria incompleta,34.7,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2016,Pobreza,Mujeres,Primaria completa,38.1,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2016,Pobreza,Hombres,Secundaria incompleta,31.4,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2016,Pobreza,Mujeres,Terciaria incompleta (incluye técnica terciaria),16.3,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2018,Pobreza,Hombres,Primaria incompleta,49.3,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2018,Pobreza,Hombres,Terciaria incompleta (incluye técnica terciaria),12.3,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2018,Pobreza,Mujeres,Primaria completa,40.0,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2018,Pobreza,Mujeres,Terciaria completa,6.8,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2018,Pobreza,Hombres,Secundaria completa,25.0,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2018,Pobreza,Mujeres,Secundaria completa,28.8,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2016,Pobreza,Hombres,Terciaria completa,4.6,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2016,Pobreza,Mujeres,Primaria incompleta,41.5,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2016,Pobreza,Hombres,Terciaria incompleta (incluye técnica terciaria),11.5,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2017,Pobreza,Mujeres,Terciaria incompleta (incluye técnica terciaria),16.7,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2017,Pobreza,Mujeres,Secundaria incompleta,34.2,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2017,Pobreza,Hombres,Primaria completa,42.9,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2017,Pobreza,Mujeres,Primaria completa,37.8,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2017,Pobreza,Hombres,Terciaria incompleta (incluye técnica terciaria),12.1,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2017,Pobreza,Hombres,Primaria incompleta,49.2,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2017,Pobreza,Hombres,Secundaria incompleta,31.9,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2017,Pobreza,Mujeres,Terciaria completa,7.1,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2017,Pobreza,Hombres,Terciaria completa,5.1,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2017,Pobreza,Hombres,Secundaria completa,23.9,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2017,Pobreza,Mujeres,Primaria incompleta,41.9,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2017,Pobreza,Mujeres,Secundaria completa,28.0,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2018,Pobreza,Hombres,Primaria completa,43.0,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2018,Pobreza,Mujeres,Primaria incompleta,41.6,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2018,Pobreza,Hombres,Secundaria incompleta,31.5,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2018,Pobreza,Hombres,Terciaria completa,5.7,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2018,Pobreza,Mujeres,Terciaria incompleta (incluye técnica terciaria),16.7,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2018,Pobreza,Mujeres,Secundaria incompleta,34.3,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2019,Pobreza,Mujeres,Secundaria incompleta,35.2,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2019,Pobreza,Mujeres,Primaria completa,42.0,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2019,Pobreza,Hombres,Secundaria completa,25.9,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2019,Pobreza,Mujeres,Primaria incompleta,42.0,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2019,Pobreza,Mujeres,Terciaria completa,7.8,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2019,Pobreza,Mujeres,Terciaria incompleta (incluye técnica terciaria),17.4,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2019,Pobreza,Hombres,Terciaria completa,6.3,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2019,Pobreza,Hombres,Primaria incompleta,49.9,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2019,Pobreza,Hombres,Primaria completa,44.1,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2019,Pobreza,Mujeres,Secundaria completa,31.0,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2019,Pobreza,Hombres,Secundaria incompleta,32.2,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2019,Pobreza,Hombres,Terciaria incompleta (incluye técnica terciaria),12.4,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2020,Pobreza,Mujeres,Primaria incompleta,44.4,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2020,Pobreza,Hombres,Secundaria incompleta,34.7,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2020,Pobreza,Hombres,Terciaria completa,8.4,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2020,Pobreza,Mujeres,Terciaria incompleta (incluye técnica terciaria),20.5,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2020,Pobreza,Hombres,Primaria completa,47.7,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2020,Pobreza,Mujeres,Secundaria incompleta,36.1,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2020,Pobreza,Mujeres,Terciaria completa,10.7,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2020,Pobreza,Hombres,Primaria incompleta,50.9,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2020,Pobreza,Hombres,Terciaria incompleta (incluye técnica terciaria),14.5,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2020,Pobreza,Mujeres,Primaria completa,46.5,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2020,Pobreza,Hombres,Secundaria completa,33.1,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2020,Pobreza,Mujeres,Secundaria completa,40.0,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2021,Pobreza,Mujeres,Primaria incompleta,43.2,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2021,Pobreza,Hombres,Secundaria completa,29.7,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2021,Pobreza,Mujeres,Secundaria completa,34.1,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2021,Pobreza,Mujeres,Primaria completa,44.5,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2021,Pobreza,Mujeres,Terciaria completa,10.3,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2021,Pobreza,Hombres,Terciaria completa,8.0,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2021,Pobreza,Hombres,Primaria incompleta,50.9,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2021,Pobreza,Mujeres,Terciaria incompleta (incluye técnica terciaria),23.8,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2022,Pobreza,Mujeres,Terciaria completa,8.6,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2022,Pobreza,Mujeres,Terciaria incompleta (incluye técnica terciaria),18.6,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2021,Pobreza,Hombres,Secundaria incompleta,35.6,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2021,Pobreza,Hombres,Terciaria incompleta (incluye técnica terciaria),15.9,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2021,Pobreza,Mujeres,Secundaria incompleta,38.9,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2021,Pobreza,Hombres,Primaria completa,47.1,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2022,Pobreza,Hombres,Secundaria completa,27.6,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2022,Pobreza,Hombres,Terciaria incompleta (incluye técnica terciaria),13.1,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2022,Pobreza,Hombres,Primaria completa,43.3,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2022,Pobreza,Mujeres,Secundaria completa,33.1,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2022,Pobreza,Hombres,Primaria incompleta,47.5,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2022,Pobreza,Hombres,Secundaria incompleta,31.2,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2022,Pobreza,Mujeres,Primaria completa,40.0,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2022,Pobreza,Mujeres,Secundaria incompleta,34.0,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2022,Pobreza,Mujeres,Primaria incompleta,39.5,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2022,Pobreza,Hombres,Terciaria completa,7.0,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Bolivia (Estado Plurinacional de),2012,Pobreza,Hombres,Terciaria incompleta (incluye técnica terciaria),13.8,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Bolivia (Estado Plurinacional de),2012,Pobreza,Hombres,Primaria incompleta,53.0,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Bolivia (Estado Plurinacional de),2012,Pobreza,Hombres,Secundaria incompleta,38.0,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Bolivia (Estado Plurinacional de),2012,Pobreza,Mujeres,Secundaria completa,31.4,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Bolivia (Estado Plurinacional de),2012,Pobreza,Hombres,Terciaria completa,7.9,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Bolivia (Estado Plurinacional de),2012,Pobreza,Mujeres,Primaria incompleta,45.0,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Bolivia (Estado Plurinacional de),2012,Pobreza,Mujeres,Terciaria incompleta (incluye técnica terciaria),17.0,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Bolivia (Estado Plurinacional de),2012,Pobreza,Hombres,Secundaria completa,28.4,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Bolivia (Estado Plurinacional de),2012,Pobreza,Hombres,Primaria completa,40.7,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Bolivia (Estado Plurinacional de),2012,Pobreza,Mujeres,Secundaria incompleta,35.2,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Bolivia (Estado Plurinacional de),2012,Pobreza,Mujeres,Primaria completa,26.5,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Bolivia (Estado Plurinacional de),2013,Pobreza,Hombres,Terciaria incompleta (incluye técnica terciaria),12.4,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Bolivia (Estado Plurinacional de),2013,Pobreza,Mujeres,Primaria incompleta,43.9,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Bolivia (Estado Plurinacional de),2013,Pobreza,Mujeres,Secundaria incompleta,29.9,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Bolivia (Estado Plurinacional de),2013,Pobreza,Hombres,Primaria completa,41.2,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Bolivia (Estado Plurinacional de),2013,Pobreza,Mujeres,Secundaria completa,26.8,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Bolivia (Estado Plurinacional de),2013,Pobreza,Hombres,Primaria incompleta,54.2,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Bolivia (Estado Plurinacional de),2013,Pobreza,Mujeres,Terciaria incompleta (incluye técnica terciaria),10.9,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,Bolivia (Estado Plurinacional de),2013,Pobreza,Hombres,Secundaria completa,30.9,Porcentaje,,26
