indicator,País__ESTANDAR,Años__ESTANDAR,Sexo__ESTANDAR,Escolaridad (EH),value,unit,notes_ids,source_id
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2018,Mujeres,13 años y más,7.8,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2018,Mujeres,6 a 9 años,8.5,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2018,Hombres,Total,7.6,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2018,Mujeres,Total,9.7,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2019,Hombres,10 a 12 años,8.8,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2019,Hombres,13 años y más,5.6,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2019,Mujeres,6 a 9 años,9.0,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2019,Mujeres,0 a 5 años,6.5,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2019,Mujeres,13 años y más,7.7,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2019,Mujeres,10 a 12 años,13.7,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2019,Hombres,6 a 9 años,7.7,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2019,Mujeres,Total,10.0,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2019,Hombres,Total,7.4,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2019,Hombres,0 a 5 años,6.6,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2020,Mujeres,13 años y más,9.6,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2020,Hombres,0 a 5 años,8.5,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2020,Hombres,13 años y más,8.3,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2020,Mujeres,10 a 12 años,16.9,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2020,Mujeres,6 a 9 años,11.1,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2020,Mujeres,0 a 5 años,8.6,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2020,Hombres,Total,9.8,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2020,Mujeres,Total,12.4,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2020,Hombres,6 a 9 años,9.6,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2020,Hombres,10 a 12 años,11.4,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2021,Mujeres,0 a 5 años,9.1,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2021,Hombres,13 años y más,7.6,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2021,Hombres,0 a 5 años,8.3,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2021,Mujeres,10 a 12 años,16.7,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2021,Mujeres,Total,12.3,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2021,Hombres,6 a 9 años,9.1,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2021,Hombres,10 a 12 años,10.8,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2021,Mujeres,13 años y más,9.4,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2021,Hombres,Total,9.2,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2021,Mujeres,6 a 9 años,11.1,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2022,Mujeres,Total,9.2,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2022,Mujeres,0 a 5 años,6.6,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2022,Hombres,13 años y más,5.5,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2022,Hombres,Total,6.8,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2022,Hombres,0 a 5 años,6.4,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2022,Mujeres,13 años y más,7.1,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2022,Hombres,10 a 12 años,8.1,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2022,Mujeres,10 a 12 años,12.4,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2022,Mujeres,6 a 9 años,8.2,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2022,Hombres,6 a 9 años,6.5,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2012,Hombres,10 a 12 años,6.7,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2012,Hombres,13 años y más,3.5,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2012,Mujeres,0 a 5 años,7.8,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2012,Mujeres,10 a 12 años,13.2,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2012,Mujeres,13 años y más,6.0,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2012,Mujeres,6 a 9 años,9.8,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2012,Hombres,Total,5.8,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2012,Hombres,0 a 5 años,7.5,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2012,Hombres,6 a 9 años,6.3,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2012,Mujeres,Total,9.3,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2013,Hombres,0 a 5 años,3.0,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2013,Hombres,Total,5.6,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2013,Mujeres,0 a 5 años,6.3,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2013,Mujeres,10 a 12 años,10.6,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2013,Mujeres,13 años y más,5.7,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2013,Hombres,13 años y más,3.6,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2013,Hombres,6 a 9 años,6.2,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2013,Mujeres,6 a 9 años,8.5,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2013,Hombres,10 a 12 años,7.0,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2013,Mujeres,Total,8.0,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2014,Hombres,6 a 9 años,7.6,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2014,Mujeres,Total,8.2,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2014,Hombres,0 a 5 años,5.2,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2014,Mujeres,10 a 12 años,11.4,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2014,Mujeres,0 a 5 años,5.9,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2014,Hombres,Total,6.5,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2014,Hombres,13 años y más,3.9,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2014,Mujeres,6 a 9 años,9.1,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2014,Mujeres,13 años y más,5.5,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2014,Hombres,10 a 12 años,7.4,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2016,Hombres,0 a 5 años,6.6,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2016,Hombres,10 a 12 años,8.1,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2016,Mujeres,13 años y más,6.2,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2016,Mujeres,10 a 12 años,11.0,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2016,Mujeres,Total,8.4,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2016,Hombres,13 años y más,4.1,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2016,Mujeres,0 a 5 años,4.8,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2016,Hombres,6 a 9 años,7.8,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2016,Hombres,Total,6.9,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2016,Mujeres,6 a 9 años,9.3,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2017,Hombres,Total,6.7,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2017,Mujeres,0 a 5 años,8.2,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2017,Hombres,0 a 5 años,8.5,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2017,Hombres,10 a 12 años,7.6,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2017,Mujeres,Total,9.1,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2017,Hombres,6 a 9 años,8.2,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2017,Hombres,13 años y más,3.5,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2017,Mujeres,6 a 9 años,10.9,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2017,Mujeres,13 años y más,6.0,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2017,Mujeres,10 a 12 años,11.8,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2018,Hombres,0 a 5 años,9.0,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2018,Mujeres,0 a 5 años,6.3,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2018,Hombres,13 años y más,4.9,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2018,Mujeres,13 años y más,6.2,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2018,Hombres,10 a 12 años,9.0,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2018,Hombres,6 a 9 años,9.6,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2018,Hombres,Total,8.0,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2018,Mujeres,10 a 12 años,14.8,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2018,Mujeres,Total,10.4,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2018,Mujeres,6 a 9 años,12.1,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2019,Hombres,Total,8.7,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2019,Mujeres,0 a 5 años,9.2,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2019,Hombres,0 a 5 años,9.8,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2019,Mujeres,Total,10.2,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2019,Mujeres,13 años y más,6.3,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2019,Hombres,13 años y más,4.9,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2019,Mujeres,10 a 12 años,14.4,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2019,Hombres,6 a 9 años,11.2,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2019,Mujeres,6 a 9 años,12.0,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2019,Hombres,10 a 12 años,9.6,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2020,Mujeres,Total,12.5,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2020,Hombres,10 a 12 años,11.0,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2020,Hombres,0 a 5 años,14.7,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2020,Hombres,13 años y más,6.1,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2020,Hombres,6 a 9 años,13.2,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2020,Mujeres,13 años y más,6.8,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2020,Hombres,Total,10.4,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2020,Mujeres,10 a 12 años,18.9,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2020,Mujeres,0 a 5 años,8.5,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2020,Mujeres,6 a 9 años,16.1,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2021,Hombres,10 a 12 años,7.8,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2021,Mujeres,Total,8.3,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2021,Mujeres,6 a 9 años,11.2,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2021,Mujeres,0 a 5 años,6.9,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2021,Mujeres,10 a 12 años,12.4,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2021,Hombres,Total,7.0,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2021,Hombres,0 a 5 años,6.8,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2021,Mujeres,13 años y más,4.4,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2021,Hombres,6 a 9 años,8.2,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2021,Hombres,13 años y más,5.0,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2022,Hombres,Total,6.3,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2022,Mujeres,10 a 12 años,10.4,Tasa anual media,"86,337",26
Tasa de desempleo abierto urbano según años de estudios y sexo,Argentina,2022,Mujeres,Total,7.2,Tasa anual media,"86,337",26
